Home_Team,Home_Score,Away_Team,Away_Score,MatchDay
Bournemouth,1,Arsenal,1,19
Chelsea,0,Southampton,2,19
Aston Villa,1,Norwich,0,19
Crystal Palace,2,West Ham,1,19
Everton,1,Burnley,0,19
Man Utd,4,Newcastle,1,19
Leicester,0,Liverpool,4,19
Wolves,3,Man City,2,19
Brighton,2,Bournemouth,0,20
Watford,3,Aston Villa,0,20
Southampton,1,Crystal Palace,1,20
Newcastle,1,Everton,2,20
West Ham,1,Leicester,2,20
Norwich,2,Spurs,2,20
Burnley,0,Man Utd,2,20
Arsenal,1,Chelsea,2,20
Liverpool,1,Wolves,0,20
Man City,2,Sheffield Utd.,0,20
Brighton,1,Chelsea,1,21
Burnley,1,Aston Villa,2,21
Watford,2,Wolves,1,21
Southampton,1,Spurs,0,21
Newcastle,0,Leicester,3,21
West Ham,4,Bournemouth,0,21
Man City,2,Everton,1,21
Norwich,1,Crystal Palace,1,21
Arsenal,2,Man Utd,0,21
Liverpool,2,Sheffield Utd.,0,21
Sheffield Utd.,1,West Ham,0,22
Crystal Palace,1,Arsenal,1,22
Wolves,1,Newcastle,1,22
Man Utd,4,Norwich,0,22
Leicester,1,Southampton,2,22
Chelsea,3,Burnley,0,22
Everton,1,Brighton,0,22
Spurs,0,Liverpool,1,22
Bournemouth,0,Watford,3,22
Aston Villa,1,Man City,6,22
Watford,0,Spurs,0,23
West Ham,1,Everton,1,23
Norwich,1,Bournemouth,0,23
Southampton,2,Wolves,3,23
Brighton,1,Aston Villa,1,23
Arsenal,1,Sheffield Utd.,1,23
Man City,2,Crystal Palace,2,23
Newcastle,1,Chelsea,0,23
Burnley,2,Leicester,1,23
Liverpool,2,Man Utd,0,23
Crystal Palace,0,Southampton,2,24
Sheffield Utd.,0,Man City,1,24
Aston Villa,2,Watford,1,24
Bournemouth,3,Brighton,1,24
Everton,2,Newcastle,2,24
Chelsea,2,Arsenal,2,24
Leicester,4,West Ham,1,24
Spurs,2,Norwich,1,24
Man Utd,0,Burnley,2,24
Wolves,1,Liverpool,2,24
Leicester,2,Chelsea,2,25
Liverpool,4,Southampton,0,25
Bournemouth,2,Aston Villa,1,25
West Ham,3,Brighton,3,25
Watford,2,Everton,3,25
Newcastle,0,Norwich,0,25
Crystal Palace,0,Sheffield Utd.,1,25
Man Utd,0,Wolves,0,25
Burnley,0,Arsenal,0,25
Spurs,2,Man City,0,25
Everton,3,Crystal Palace,1,26
Brighton,1,Watford,1,26
Sheffield Utd.,2,Bournemouth,1,26
Wolves,0,Leicester,0,26
Southampton,1,Burnley,2,26
Norwich,0,Liverpool,1,26
Aston Villa,2,Spurs,3,26
Arsenal,4,Newcastle,0,26
Chelsea,0,Man Utd,2,26
Man City,2,West Ham,0,26
Chelsea,2,Spurs,1,27
Sheffield Utd.,1,Brighton,1,27
Crystal Palace,1,Newcastle,0,27
Southampton,2,Aston Villa,0,27
Burnley,3,Bournemouth,0,27
Leicester,0,Man City,1,27
Man Utd,3,Watford,0,27
Wolves,3,Norwich,0,27
Arsenal,3,Everton,2,27
Liverpool,3,West Ham,2,27
Norwich,1,Leicester,0,28
Brighton,0,Crystal Palace,1,28
West Ham,3,Southampton,1,28
Newcastle,0,Burnley,0,28
Bournemouth,2,Chelsea,2,28
Watford,3,Liverpool,0,28
Spurs,2,Wolves,3,28
Everton,1,Man Utd,1,28
Aston Villa,0,Sheffield Utd.,0,28
Man City,3,Arsenal,0,28
Liverpool,2,Bournemouth,1,29
Arsenal,1,West Ham,0,29
Crystal Palace,1,Watford,0,29
Sheffield Utd.,1,Norwich,0,29
Southampton,0,Newcastle,1,29
Wolves,0,Brighton,0,29
Burnley,1,Spurs,1,29
Chelsea,4,Everton,0,29
Man Utd,2,Man City,0,29
Leicester,4,Aston Villa,0,29
Norwich,0,Southampton,3,30
Spurs,1,Man Utd,1,30
Watford,1,Leicester,1,30
Brighton,2,Arsenal,1,30
West Ham,0,Wolves,2,30
Bournemouth,0,Crystal Palace,2,30
Newcastle,3,Sheffield Utd.,0,30
Aston Villa,1,Chelsea,2,30
Everton,0,Liverpool,0,30
Man City,5,Burnley,0,30
Leicester,0,Brighton,0,31
Spurs,2,West Ham,0,31
Newcastle,1,Aston Villa,1,31
Norwich,0,Everton,1,31
Wolves,1,Bournemouth,0,31
Man Utd,3,Sheffield Utd.,0,31
Liverpool,4,Crystal Palace,0,31
Burnley,1,Watford,0,31
Southampton,0,Arsenal,2,31
Chelsea,2,Man City,1,31
Aston Villa,0,Wolves,1,32
Watford,1,Southampton,3,32
Crystal Palace,0,Burnley,1,32
Brighton,0,Man Utd,3,32
Arsenal,4,Norwich,0,32
Bournemouth,1,Newcastle,4,32
Everton,2,Leicester,1,32
West Ham,3,Chelsea,2,32
Sheffield Utd.,3,Spurs,1,32
Man City,4,Liverpool,0,32
Norwich,0,Brighton,1,33
Man Utd,5,Bournemouth,2,33
Leicester,3,Crystal Palace,0,33
Wolves,0,Arsenal,2,33
Chelsea,3,Watford,0,33
Burnley,1,Sheffield Utd.,1,33
Newcastle,2,West Ham,2,33
Liverpool,2,Aston Villa,0,33
Southampton,1,Man City,0,33
Spurs,1,Everton,0,33
Crystal Palace,2,Chelsea,3,34
Watford,2,Norwich,1,34
Arsenal,1,Leicester,1,34
West Ham,0,Burnley,1,34
Man City,5,Newcastle,0,34
Sheffield Utd.,1,Wolves,0,34
Brighton,1,Liverpool,3,34
Everton,1,Southampton,1,34
Bournemouth,0,Spurs,0,34
Aston Villa,0,Man Utd,3,34
Watford,2,Newcastle,1,35
Norwich,0,West Ham,4,35
Liverpool,1,Burnley,1,35
Sheffield Utd.,3,Chelsea,0,35
Brighton,0,Man City,5,35
Wolves,3,Everton,0,35
Aston Villa,2,Crystal Palace,0,35
Spurs,2,Arsenal,1,35
Bournemouth,4,Leicester,1,35
Man Utd,2,Southampton,2,35
Chelsea,1,Norwich,0,36
Burnley,1,Wolves,1,36
Man City,2,Bournemouth,1,36
Newcastle,1,Spurs,3,36
Arsenal,2,Liverpool,1,36
Everton,1,Aston Villa,1,36
Leicester,2,Sheffield Utd.,0,36
Southampton,1,Brighton,1,36
Crystal Palace,0,Man Utd,2,36
West Ham,3,Watford,1,36
Norwich,0,Burnley,2,37
Bournemouth,0,Southampton,2,37
Spurs,3,Leicester,0,37
Sheffield Utd.,0,Everton,1,37
Brighton,0,Newcastle,0,37
Wolves,2,Crystal Palace,0,37
Watford,0,Man City,4,37
Aston Villa,1,Arsenal,0,37
Man Utd,1,West Ham,1,37
Liverpool,5,Chelsea,3,37
Everton,1,Bournemouth,3,38
Arsenal,3,Watford,2,38
Leicester,0,Man Utd,2,38
Man City,5,Norwich,0,38
Southampton,3,Sheffield Utd.,1,38
Newcastle,1,Liverpool,3,38
Burnley,1,Brighton,2,38
Crystal Palace,1,Spurs,1,38
Chelsea,2,Wolves,0,38
West Ham,1,Aston Villa,1,38
