home_team_name,away_team_name,home_score,away_score,match_date,kick_off,match_id_required,competition_stage_name,Home_Possesion,Away_Posession,Home_Shots,Away_Shot,Home_on_target,Away_away_on_target,Home_pass,Away_pass
Sweden,England,0,2,2018-07-07,21:00:00.000,8651,Quarter-finals,40.06051437216339,59.93948562783661,8,12,3,2,400,563
Argentina,Iceland,1,1,2018-06-16,15:00:00.000,7531,Group Stage,77.05555555555556,22.944444444444446,28,9,7,2,796,224
Belgium,Tunisia,5,2,2018-06-23,14:00:00.000,7552,Group Stage,54.16188289322618,45.83811710677382,23,17,12,5,475,467
France,Croatia,4,2,2018-07-15,21:00:00.000,8658,Final,35.930154466084616,64.06984553391538,8,16,6,3,292,554
England,Panama,6,1,2018-06-24,14:00:00.000,7554,Group Stage,58.71328671328671,41.28671328671329,11,8,7,2,607,406
Colombia,England,1,1,2018-07-03,21:00:00.000,7585,Round of 16,49.61433192336402,50.38566807663598,19,22,9,7,556,605
Portugal,Morocco,1,0,2018-06-20,14:00:00.000,7542,Group Stage,43.04656182547024,56.95343817452976,12,17,2,4,397,519
Germany,Sweden,2,1,2018-06-23,20:00:00.000,7551,Group Stage,74.89139878366638,25.10860121633362,18,7,6,6,717,231
Nigeria,Argentina,1,2,2018-06-26,20:00:00.000,7564,Group Stage,33.42848986582929,66.57151013417071,9,8,3,4,322,595
South Korea,Germany,2,0,2018-06-27,16:00:00.000,7567,Group Stage,25.377562028047464,74.62243797195254,12,29,5,6,259,734
Uruguay,Saudi Arabia,1,0,2018-06-20,17:00:00.000,7544,Group Stage,44.764795144157816,55.23520485584219,14,8,3,2,511,584
Brazil,Mexico,2,0,2018-07-02,21:00:00.000,7583,Round of 16,47.8939617083947,52.10603829160531,19,14,10,1,410,429
Colombia,Japan,1,2,2018-06-19,14:00:00.000,7541,Group Stage,41.55239327296248,58.44760672703752,10,14,3,6,421,629
Japan,Poland,0,1,2018-06-28,16:00:00.000,7572,Group Stage,51.688453159041394,48.311546840958606,11,11,3,2,587,499
Denmark,Australia,1,1,2018-06-21,14:00:00.000,7547,Group Stage,47.19038300251607,52.80961699748392,10,13,5,5,478,533
Spain,Russia,1,1,2018-07-01,21:00:00.000,7582,Round of 16,78.17349781138083,21.82650218861918,29,13,14,5,1157,326
Croatia,England,2,1,2018-07-11,21:00:00.000,8656,Semi-finals,54.72875660105617,45.27124339894383,22,11,8,1,656,537
