Home_Team,Home_Score,Away_Team,Away_Score,MatchDay
1. FC Köln,2,Bay. Leverkusen,0,15
SC Paderborn,1,Union Berlin,1,15
F. Düsseldorf,0,RB Leipzig,3,15
VfL Wolfsburg,2,Bor. M'gladbach,1,15
FC Schalke 04,1,E. Frankfurt,0,15
Werder Bremen,0,1.FSV Mainz 05,5,16
Bor. Dortmund,3,RB Leipzig,3,16
FC Augsburg,3,F. Düsseldorf,0,16
Union Berlin,0,TSG Hoffenheim,2,16
Bay. Leverkusen,0,Hertha BSC,1,16
Bor. M'gladbach,2,SC Paderborn,0,16
VfL Wolfsburg,1,FC Schalke 04,1,16
E. Frankfurt,2,1. FC Köln,4,16
SC Freiburg,1,Bayern Munich,3,16
TSG Hoffenheim,2,Bor. Dortmund,1,17
Bayern Munich,2,VfL Wolfsburg,0,17
RB Leipzig,3,FC Augsburg,1,17
1.FSV Mainz 05,0,Bay. Leverkusen,1,17
FC Schalke 04,2,SC Freiburg,2,17
1. FC Köln,1,Werder Bremen,0,17
Hertha BSC,0,Bor. M'gladbach,0,17
F. Düsseldorf,2,Union Berlin,1,17
SC Paderborn,2,E. Frankfurt,1,17
FC Schalke 04,2,Bor. M'gladbach,0,18
TSG Hoffenheim,1,E. Frankfurt,2,18
F. Düsseldorf,0,Werder Bremen,1,18
1.FSV Mainz 05,1,SC Freiburg,2,18
FC Augsburg,3,Bor. Dortmund,5,18
1. FC Köln,3,VfL Wolfsburg,1,18
RB Leipzig,3,Union Berlin,1,18
Hertha BSC,0,Bayern Munich,4,18
SC Paderborn,1,Bay. Leverkusen,4,18
Bor. Dortmund,5,1. FC Köln,1,19
Bor. M'gladbach,3,1.FSV Mainz 05,1,19
VfL Wolfsburg,1,Hertha BSC,2,19
E. Frankfurt,2,RB Leipzig,0,19
SC Freiburg,0,SC Paderborn,2,19
Union Berlin,2,FC Augsburg,0,19
Bayern Munich,5,FC Schalke 04,0,19
Werder Bremen,0,TSG Hoffenheim,3,19
Bay. Leverkusen,3,F. Düsseldorf,0,19
Hertha BSC,0,FC Schalke 04,0,20
Bor. Dortmund,5,Union Berlin,0,20
TSG Hoffenheim,2,Bay. Leverkusen,1,20
F. Düsseldorf,1,E. Frankfurt,1,20
1.FSV Mainz 05,1,Bayern Munich,3,20
FC Augsburg,2,Werder Bremen,1,20
RB Leipzig,2,Bor. M'gladbach,2,20
1. FC Köln,4,SC Freiburg,0,20
SC Paderborn,2,VfL Wolfsburg,4,20
E. Frankfurt,5,FC Augsburg,0,21
VfL Wolfsburg,1,F. Düsseldorf,1,21
Werder Bremen,0,Union Berlin,2,21
Hertha BSC,1,1.FSV Mainz 05,3,21
SC Freiburg,1,TSG Hoffenheim,0,21
FC Schalke 04,1,SC Paderborn,1,21
Bay. Leverkusen,4,Bor. Dortmund,3,21
Bayern Munich,0,RB Leipzig,0,21
Bor. M'gladbach,2,1. FC Köln,1,21
Bor. Dortmund,4,E. Frankfurt,0,22
RB Leipzig,3,Werder Bremen,0,22
TSG Hoffenheim,2,VfL Wolfsburg,3,22
FC Augsburg,1,SC Freiburg,1,22
SC Paderborn,1,Hertha BSC,2,22
