Home_Team,Home_Score,Away_Team,Away_Score,MatchDay
Atalanta,5,Parma,0,18
Juventus,4,Cagliari Calcio,0,18
AC Milan,0,Sampdoria,0,18
Lecce,0,Udinese Calcio,1,18
SSC Napoli,1,Inter,3,18
Cagliari Calcio,0,AC Milan,2,19
Lazio,1,SSC Napoli,0,19
Inter,1,Atalanta,1,19
Udinese Calcio,3,Sassuolo,0,19
Fiorentina,1,SPAL,0,19
Sampdoria,5,Brescia,1,19
Torino,1,Bologna,0,19
Hellas Verona,2,Genoa,1,19
AS Roma,1,Juventus,2,19
Parma,2,Lecce,0,19
Lazio,5,Sampdoria,1,20
Sassuolo,2,Torino,1,20
SSC Napoli,0,Fiorentina,2,20
AC Milan,3,Udinese Calcio,2,20
Brescia,2,Cagliari Calcio,2,20
Bologna,1,Hellas Verona,1,20
Lecce,1,Inter,1,20
Genoa,1,AS Roma,3,20
Juventus,2,Parma,1,20
Atalanta,1,SPAL,2,20
Brescia,0,AC Milan,1,21
SPAL,1,Bologna,3,21
Fiorentina,0,Genoa,0,21
Torino,0,Atalanta,7,21
Inter,1,Cagliari Calcio,1,21
Hellas Verona,3,Lecce,0,21
Sampdoria,0,Sassuolo,0,21
Parma,2,Udinese Calcio,0,21
AS Roma,1,Lazio,1,21
SSC Napoli,2,Juventus,1,21
Bologna,2,Brescia,1,22
Cagliari Calcio,2,Parma,2,22
Sassuolo,4,AS Roma,2,22
Juventus,3,Fiorentina,0,22
Atalanta,2,Genoa,2,22
AC Milan,1,Hellas Verona,1,22
Lazio,5,SPAL,1,22
Lecce,4,Torino,0,22
Udinese Calcio,0,Inter,2,22
Sampdoria,2,SSC Napoli,4,22
AS Roma,2,Bologna,3,23
Fiorentina,1,Atalanta,2,23
Torino,1,Sampdoria,3,23
Hellas Verona,2,Juventus,1,23
SPAL,1,Sassuolo,2,23
Genoa,1,Cagliari Calcio,0,23
SSC Napoli,2,Lecce,3,23
Brescia,1,Udinese Calcio,1,23
Parma,0,Lazio,1,23
Inter,4,AC Milan,2,23
Lecce,2,SPAL,1,24
Bologna,0,Genoa,3,24
Atalanta,2,AS Roma,1,24
Udinese Calcio,0,Hellas Verona,0,24
Juventus,2,Brescia,0,24
Sampdoria,1,Fiorentina,5,24
Sassuolo,0,Parma,1,24
Cagliari Calcio,0,SSC Napoli,1,24
Lazio,2,Inter,1,24
AC Milan,1,Torino,0,24
Brescia,1,SSC Napoli,2,25
Bologna,1,Udinese Calcio,1,25
SPAL,1,Juventus,2,25
Fiorentina,1,AC Milan,1,25
Genoa,2,Lazio,3,25
AS Roma,4,Lecce,0,25
Torino,1,Parma,1,25
Hellas Verona,2,Cagliari Calcio,1,25
Atalanta,4,Sassuolo,1,25
Inter,2,Sampdoria,1,25
Lazio,2,Bologna,0,26
SSC Napoli,2,Torino,1,26
Lecce,2,Atalanta,7,26
Cagliari Calcio,3,AS Roma,4,26
Parma,0,SPAL,1,26
AC Milan,1,Genoa,2,26
Sampdoria,2,Hellas Verona,1,26
Udinese Calcio,0,Fiorentina,0,26
Juventus,2,Inter,0,26
Sassuolo,3,Brescia,0,26
Fiorentina,1,Brescia,1,27
Lecce,1,AC Milan,4,27
Bologna,0,Juventus,2,27
SPAL,0,Cagliari Calcio,1,27
Hellas Verona,0,SSC Napoli,2,27
Genoa,1,Parma,4,27
Torino,1,Udinese Calcio,0,27
Inter,3,Sassuolo,3,27
Atalanta,3,Lazio,2,27
AS Roma,2,Sampdoria,1,27
Juventus,4,Lecce,0,28
Brescia,2,Genoa,2,28
Cagliari Calcio,4,Torino,2,28
Lazio,2,Fiorentina,1,28
AC Milan,2,AS Roma,0,28
Udinese Calcio,2,Atalanta,3,28
Sampdoria,1,Bologna,2,28
Sassuolo,3,Hellas Verona,3,28
SSC Napoli,3,SPAL,1,28
Parma,1,Inter,2,28
Torino,1,Lazio,2,29
Genoa,1,Juventus,3,29
Inter,6,Brescia,0,29
Bologna,1,Cagliari Calcio,1,29
SPAL,2,AC Milan,2,29
Hellas Verona,3,Parma,2,29
Lecce,1,Sampdoria,2,29
Fiorentina,1,Sassuolo,3,29
Atalanta,2,SSC Napoli,0,29
AS Roma,0,Udinese Calcio,2,29
Juventus,4,Torino,1,30
Sassuolo,4,Lecce,2,30
Lazio,0,AC Milan,3,30
Inter,1,Bologna,2,30
Cagliari Calcio,0,Atalanta,1,30
Parma,1,Fiorentina,2,30
Udinese Calcio,2,Genoa,2,30
Brescia,2,Hellas Verona,0,30
Sampdoria,3,SPAL,0,30
SSC Napoli,2,AS Roma,1,30
Lecce,2,Lazio,1,31
AC Milan,4,Juventus,2,31
Fiorentina,0,Cagliari Calcio,0,31
Genoa,1,SSC Napoli,2,31
Torino,3,Brescia,1,31
AS Roma,2,Parma,1,31
Atalanta,2,Sampdoria,0,31
